"ID"	"Clase"	"Resultado_objetivo_y_motivo"	"Referencias"	"Pruebas_locales"	"Decision"
"ACC-01"	"NV"	"Identificación administrativa por correo/contraseña y piso por PIN; equivalencia candidata. Falta login real de cada actor y verificar destino tras recarga."	"acceso,pin,piso_ruta"	"unitarias/autenticacion;unitarias/sesion-operador"	""
"ACC-02"	"NV"	"Teclado y esquema de PIN disponibles; rechazo validado solo con dependencias simuladas, sin sesión de navegador ni servicio real."	"teclado,pin"	"unitarias/esquemas;unitarias/limitar-intentos"	""
"ACC-03"	"NV"	"Menú conecta los módulos administrativos y marca ruta activa. Falta recorrer cada destino con una identidad de prueba."	"menu,barra"	""	""
"ACC-04"	"NV"	"Chasis conserva navegación y existe acción de cierre; no se ha ejecutado cambio panel/piso/cierre y vuelta atrás con sesión real."	"barra,salir,prd_ruta,piso_ruta"	""	""
"ACC-05"	"P"	"Cierre reconfirma PIN del mismo operador HMAC y audita ID; no equivale automáticamente a permitir que otro confirmante cierre el trabajo ni muestra toda la identidad histórica."	"prd_cerrar,prd_panel,sesion_sql"	"integracion/produccion-sesiones"	""
"ACC-06"	"P"	"Tarifas muestra TC y alerta por más de 24 h usando actualizadoEn general; no solicita TC al ingreso por cambio de fecha diaria."	"cfg_tarifas,acceso"	"integracion/configuracion-acciones"	""
"ACC-07"	"P"	"Hay skeletons y errores en listados; la ficha del cliente no distingue error de ausencia y la recuperación no está conectada uniformemente en todos los módulos."	"cliente_lista,cliente_ficha,dashboard"	"unitarias/planeacion-componentes"	""
"ACC-08"	"NV"	"Persistencia y suscripciones están representadas; las pruebas locales simulan dependencias. No se ejecutó guardar/reabrir ni propagación a otra sesión real."	"prd_tablero,plan_operar,rfq_guardar,cliente_alta"	"unitarias/planeacion-realtime"	""
"DAS-01"	"P"	"Ventas ejecutivas basadas en CxC y pipeline, no en el mismo universo de aprobadas/manuales del mes; no existe marca de trabajo interno para excluirlo."	"dashboard_sql,dashboard_servicio,dashboard_ventas"	"integracion/dashboard-acciones"	""
"DAS-02"	"P"	"Margen usa ingresos y costos atribuibles además de gastos; requiere reconciliar el universo y tratamiento mensual, sin confundirlo con margen global de la base."	"dashboard_sql,dashboard_finanzas,gasto_renta"	"unitarias/dashboard-mappers"	"D-11"
