Caso;Titulo;Requisitos;Estado;Limite;Siguiente_paso;Fuente
E2E-01;Ingreso y navegación por rol [B];ACC-01, ACC-02, ACC-03, ACC-04, ACC-07;No ejecutado en navegador/BD de prueba;"Sin entorno aislado confirmado; Docker local no disponible. Suites remotas mutantes excluidas.";"Preparar escenario ficticio del Prompt 3 en entorno de prueba aprobado; recorrer UI y persistencia por los IDs asociados.";fuentes/03_Prompt_flujos_E2E.md:84
E2E-02;Tipo de cambio del día [B];ACC-06, CFG-02;No ejecutado en navegador/BD de prueba;"Sin entorno aislado confirmado; Docker local no disponible. Suites remotas mutantes excluidas.";"Preparar escenario ficticio del Prompt 3 en entorno de prueba aprobado; recorrer UI y persistencia por los IDs asociados.";fuentes/03_Prompt_flujos_E2E.md:110
E2E-03;Crear y editar cliente [B];CLI-01, CLI-02, CLI-03, CLI-04, TRA-03;No ejecutado en navegador/BD de prueba;"Sin entorno aislado confirmado; Docker local no disponible. Suites remotas mutantes excluidas.";"Preparar escenario ficticio del Prompt 3 en entorno de prueba aprobado; recorrer UI y persistencia por los IDs asociados.";fuentes/03_Prompt_flujos_E2E.md:130
E2E-04;Consumo, tier y descuento temporal [B];CLI-05, CLI-06, CFG-08;No ejecutado en navegador/BD de prueba;"Sin entorno aislado confirmado; Docker local no disponible. Suites remotas mutantes excluidas.";"Preparar escenario ficticio del Prompt 3 en entorno de prueba aprobado; recorrer UI y persistencia por los IDs asociados.";fuentes/03_Prompt_flujos_E2E.md:158
E2E-05;Alta rápida y cotización con descuento [B];RFQ-01, RFQ-02, RFQ-03, RFQ-04, RFQ-11;No ejecutado en navegador/BD de prueba;"Sin entorno aislado confirmado; Docker local no disponible. Suites remotas mutantes excluidas.";"Preparar escenario ficticio del Prompt 3 en entorno de prueba aprobado; recorrer UI y persistencia por los IDs asociados.";fuentes/03_Prompt_flujos_E2E.md:180
E2E-06;Seguimiento, etiquetas y estados comerciales [B];RFQ-07, RFQ-08, RFQ-12, RFQ-13, RFQ-14, CFG-07, TRA-01;No ejecutado en navegador/BD de prueba;"Sin entorno aislado confirmado; Docker local no disponible. Suites remotas mutantes excluidas.";"Preparar escenario ficticio del Prompt 3 en entorno de prueba aprobado; recorrer UI y persistencia por los IDs asociados.";fuentes/03_Prompt_flujos_E2E.md:210
E2E-07;Aprobación multiárea hasta taller y CxC [B];RFQ-05, RFQ-06, RFQ-10, RFQ-15, AR-01, TRA-02;No ejecutado en navegador/BD de prueba;"Sin entorno aislado confirmado; Docker local no disponible. Suites remotas mutantes excluidas.";"Preparar escenario ficticio del Prompt 3 en entorno de prueba aprobado; recorrer UI y persistencia por los IDs asociados.";fuentes/03_Prompt_flujos_E2E.md:234
E2E-08;Límite de crédito y autorización [B];RFQ-16;No ejecutado en navegador/BD de prueba;"Sin entorno aislado confirmado; Docker local no disponible. Suites remotas mutantes excluidas.";"Preparar escenario ficticio del Prompt 3 en entorno de prueba aprobado; recorrer UI y persistencia por los IDs asociados.";fuentes/03_Prompt_flujos_E2E.md:258
E2E-09;Orden interna completa [B];RFQ-09, ORD-02;No ejecutado en navegador/BD de prueba;"Sin entorno aislado confirmado; Docker local no disponible. Suites remotas mutantes excluidas.";"Preparar escenario ficticio del Prompt 3 en entorno de prueba aprobado; recorrer UI y persistencia por los IDs asociados.";fuentes/03_Prompt_flujos_E2E.md:278
E2E-10;Cotizador y archivos geométricos [B];COT-01, COT-02, COT-03, COT-04, COT-05, COT-06;No ejecutado en navegador/BD de prueba;"Sin entorno aislado confirmado; Docker local no disponible. Suites remotas mutantes excluidas.";"Preparar escenario ficticio del Prompt 3 en entorno de prueba aprobado; recorrer UI y persistencia por los IDs asociados.";fuentes/03_Prompt_flujos_E2E.md:304
E2E-11;Tarifas y cálculo de manufactura [B/C];COT-07, COT-08, COT-09, COT-10, COT-11, CFG-10;No ejecutado en navegador/BD de prueba;"Sin entorno aislado confirmado; Docker local no disponible. Suites remotas mutantes excluidas.";"Preparar escenario ficticio del Prompt 3 en entorno de prueba aprobado; recorrer UI y persistencia por los IDs asociados.";fuentes/03_Prompt_flujos_E2E.md:330
E2E-12;Adjuntos comerciales y actualización en ejecución [B];RFQ-19, ORD-09, DOC-04;No ejecutado en navegador/BD de prueba;"Sin entorno aislado confirmado; Docker local no disponible. Suites remotas mutantes excluidas.";"Preparar escenario ficticio del Prompt 3 en entorno de prueba aprobado; recorrer UI y persistencia por los IDs asociados.";fuentes/03_Prompt_flujos_E2E.md:354
E2E-13;Cambio comercial sincronizado a orden [B];RFQ-17, ORD-08;No ejecutado en navegador/BD de prueba;"Sin entorno aislado confirmado; Docker local no disponible. Suites remotas mutantes excluidas.";"Preparar escenario ficticio del Prompt 3 en entorno de prueba aprobado; recorrer UI y persistencia por los IDs asociados.";fuentes/03_Prompt_flujos_E2E.md:380
E2E-14;Órdenes nuevas, heredadas y repetidas [B con sustitución OBS];CLI-07, CLI-08, ORD-04, ORD-06, CFG-04, CFG-12;No ejecutado en navegador/BD de prueba;"Sin entorno aislado confirmado; Docker local no disponible. Suites remotas mutantes excluidas.";"Preparar escenario ficticio del Prompt 3 en entorno de prueba aprobado; recorrer UI y persistencia por los IDs asociados.";fuentes/03_Prompt_flujos_E2E.md:400
E2E-15;Edición, partes y consulta de órdenes [B];ORD-01, ORD-03, ORD-05, ORD-07, ORD-12;No ejecutado en navegador/BD de prueba;"Sin entorno aislado confirmado; Docker local no disponible. Suites remotas mutantes excluidas.";"Preparar escenario ficticio del Prompt 3 en entorno de prueba aprobado; recorrer UI y persistencia por los IDs asociados.";fuentes/03_Prompt_flujos_E2E.md:420
E2E-16;Retiro de registros administrativos [B];RFQ-18, ORD-10, AR-16;No ejecutado en navegador/BD de prueba;"Sin entorno aislado confirmado; Docker local no disponible. Suites remotas mutantes excluidas.";"Preparar escenario ficticio del Prompt 3 en entorno de prueba aprobado; recorrer UI y persistencia por los IDs asociados.";fuentes/03_Prompt_flujos_E2E.md:444
E2E-17;Inicio por área y colas de trabajo [B];PRD-01, PRD-02, PRD-03, PRD-04;No ejecutado en navegador/BD de prueba;"Sin entorno aislado confirmado; Docker local no disponible. Suites remotas mutantes excluidas.";"Preparar escenario ficticio del Prompt 3 en entorno de prueba aprobado; recorrer UI y persistencia por los IDs asociados.";fuentes/03_Prompt_flujos_E2E.md:466
E2E-18;Pausa, sesión y relevo [B];ACC-05, PRD-05, PRD-06, PRD-07, PRD-12;No ejecutado en navegador/BD de prueba;"Sin entorno aislado confirmado; Docker local no disponible. Suites remotas mutantes excluidas.";"Preparar escenario ficticio del Prompt 3 en entorno de prueba aprobado; recorrer UI y persistencia por los IDs asociados.";fuentes/03_Prompt_flujos_E2E.md:490
E2E-19;Parciales hasta orden completa [B];PRD-08, PRD-09, PRD-10, PRD-13;No ejecutado en navegador/BD de prueba;"Sin entorno aislado confirmado; Docker local no disponible. Suites remotas mutantes excluidas.";"Preparar escenario ficticio del Prompt 3 en entorno de prueba aprobado; recorrer UI y persistencia por los IDs asociados.";fuentes/03_Prompt_flujos_E2E.md:516
E2E-20;Asignación del operador [C/OBS];PRD-11, OBS-09;No ejecutado en navegador/BD de prueba;"Sin entorno aislado confirmado; Docker local no disponible. Suites remotas mutantes excluidas.";"Preparar escenario ficticio del Prompt 3 en entorno de prueba aprobado; recorrer UI y persistencia por los IDs asociados.";fuentes/03_Prompt_flujos_E2E.md:534
E2E-21;Detalle, historial y reactivación [B];PRD-15, PRD-16, PRD-17, PRD-18, CFG-13;No ejecutado en navegador/BD de prueba;"Sin entorno aislado confirmado; Docker local no disponible. Suites remotas mutantes excluidas.";"Preparar escenario ficticio del Prompt 3 en entorno de prueba aprobado; recorrer UI y persistencia por los IDs asociados.";fuentes/03_Prompt_flujos_E2E.md:556
