ID;Origen;Modulo;Capacidad;Fuente;Condicion_o_solicitud;Resultado_esperado;Casos_E2E;Estado_objetivo;Evidencia_objetivo
ACC-01;B;Acceso y navegación;Acceso por identidad;"src/App.jsx:447-480;4533-4538";se introduce el PIN de un usuario registrado;"Se identifica al usuario por nombre y rol; el administrador entra al panel administrativo y el operador a Producción. Conservar la función de identificación, sin trasladar valores de PIN del código antiguo.";E2E-01;Pendiente de verificar;
ACC-02;B;Acceso y navegación;Captura y rechazo de PIN;"src/App.jsx:447-480;3160-3164";se usa el teclado numérico, borrar o un PIN no reconocido;"La entrada puede corregirse; un PIN no reconocido no abre una sesión y permite reintentar. La interfaz declara PIN de 4 a 6 dígitos; validar ese rango en la versión objetivo.";E2E-01;Pendiente de verificar;
ACC-03;B;Acceso y navegación;Navegación administrativa;"src/App.jsx:4358;4582-4596";el administrador selecciona una opción del menú;Puede abrir Dashboard, RFQ/Pipeline, Órdenes, CxC, Gastos/CxP, Clientes y Configuración, con indicador de vista activa.;E2E-01;Pendiente de verificar;
ACC-04;B;Acceso y navegación;Cambio de vista y cierre de sesión;"src/App.jsx:3750-3756;4533-4537;4584-4586";el administrador abre Producción, regresa al panel o cierra sesión desde el panel;"Se conserva la identidad durante el cambio de vista; la vuelta administrativa corresponde al rol admin; cerrar sesión devuelve al acceso.";E2E-01;Pendiente de verificar;
ACC-05;B;Acceso y navegación;Identidad en taller y confirmación de cierre;"src/App.jsx:3399-3419;3432-3440;4133-4155";se guarda una sesión de trabajo;El sistema pide confirmar identidad por PIN y registra identificador y nombre de quien confirma el trabajo. No confundir esta confirmación con una asignación individual de tareas.;E2E-18;Pendiente de verificar;
ACC-06;B;Acceso y navegación;Actualización diaria del tipo de cambio;"src/App.jsx:4405-4406;4543-4556";el administrador entra con una fecha de TC distinta al día actual;"Se solicita el TC MXN por USD, permite capturarlo y confirmar la fecha de actualización; muestra TC en el panel.";E2E-02;Pendiente de verificar;
ACC-07;B;Acceso y navegación;Carga y reintento;"src/App.jsx:4408-4430;4516-4533";se abre la aplicación o no se logra cargar su información;"Se distingue carga de datos, acceso y pantalla de reintento; no se presenta un conjunto vacío como si fuera información cargada correctamente.";E2E-01;Pendiente de verificar;
ACC-08;B;Acceso y navegación;Disponibilidad compartida de registros;src/App.jsx:4365-4514;se crea o edita un cliente, RFQ, orden, AR, gasto o configuración;"Los registros se guardan y se recuperan en una nueva carga; otra sesión recibe las actualizaciones de las entidades suscritas. La prueba de persistencia y de segunda sesión es obligatoria para aceptar la equivalencia.";E2E-33;Pendiente de verificar;
DAS-01;B;Dashboard;Resumen comercial mensual;src/App.jsx:562-587;se consulta el dashboard con cotizaciones aprobadas y órdenes manuales comerciales;"Se muestran ventas del mes en MXN y pipeline activo; las órdenes internas se identifican por separado y no se tratan como ventas a clientes.";E2E-32;Pendiente de verificar;
DAS-02;B;Dashboard;Gastos y margen global;"src/App.jsx:570-572;597";se consulta el resumen ejecutivo;"Se muestran gastos del mes y margen porcentual derivado de ventas y gastos; este indicador global no sustituye rentabilidad individual por orden.";E2E-32;Pendiente de verificar;
