ID;Prioridad_proceso;Tipo_trabajo;Capacidad_y_brecha;Actores;Relacion_otros_modulos;Criterio_aceptacion;Prueba;Dependencia
ACC-01;Media;Obtener evidencia funcional;"Acceso por identidad. Identificación administrativa por correo/contraseña y piso por PIN; equivalencia candidata. Falta login real de cada actor y verificar destino tras recarga.";"Admin / operador; demás roles con sesión administrativa";"usuarios; sesión administrativa; identidad PIN; permisos";"Se identifica al usuario por nombre y rol; el administrador entra al panel administrativo y el operador a Producción. Conservar la función de identificación, sin trasladar valores de PIN del código antiguo.";"E2E-01: Se identifica al usuario por nombre y rol; el administrador entra al panel administrativo y el operador a Producción. Conservar la función de identificación, sin trasladar valores de PIN del código antiguo.";Entorno de prueba aislado, usuarios ficticios por rol, datos preparados y servicio correspondiente.
ACC-02;Media;Obtener evidencia funcional;"Captura y rechazo de PIN. Teclado y esquema de PIN disponibles; rechazo validado solo con dependencias simuladas, sin sesión de navegador ni servicio real.";"Admin / operador; demás roles con sesión administrativa";"usuarios; sesión administrativa; identidad PIN; permisos";"La entrada puede corregirse; un PIN no reconocido no abre una sesión y permite reintentar. La interfaz declara PIN de 4 a 6 dígitos; validar ese rango en la versión objetivo.";"E2E-01: La entrada puede corregirse; un PIN no reconocido no abre una sesión y permite reintentar. La interfaz declara PIN de 4 a 6 dígitos; validar ese rango en la versión objetivo.";Entorno de prueba aislado, usuarios ficticios por rol, datos preparados y servicio correspondiente.
ACC-03;Media;Obtener evidencia funcional;Navegación administrativa. Menú conecta los módulos administrativos y marca ruta activa. Falta recorrer cada destino con una identidad de prueba.;"Admin / operador; demás roles con sesión administrativa";"usuarios; sesión administrativa; identidad PIN; permisos";Puede abrir Dashboard, RFQ/Pipeline, Órdenes, CxC, Gastos/CxP, Clientes y Configuración, con indicador de vista activa.;E2E-01: Puede abrir Dashboard, RFQ/Pipeline, Órdenes, CxC, Gastos/CxP, Clientes y Configuración, con indicador de vista activa.;Entorno de prueba aislado, usuarios ficticios por rol, datos preparados y servicio correspondiente.
ACC-04;Media;Obtener evidencia funcional;"Cambio de vista y cierre de sesión. Chasis conserva navegación y existe acción de cierre; no se ha ejecutado cambio panel/piso/cierre y vuelta atrás con sesión real.";"Admin / operador; demás roles con sesión administrativa";"usuarios; sesión administrativa; identidad PIN; permisos";"Se conserva la identidad durante el cambio de vista; la vuelta administrativa corresponde al rol admin; cerrar sesión devuelve al acceso.";"E2E-01: Se conserva la identidad durante el cambio de vista; la vuelta administrativa corresponde al rol admin; cerrar sesión devuelve al acceso.";Entorno de prueba aislado, usuarios ficticios por rol, datos preparados y servicio correspondiente.
ACC-05;Media;Completar cobertura funcional;"Identidad en taller y confirmación de cierre. Cierre reconfirma PIN del mismo operador HMAC y audita ID; no equivale automáticamente a permitir que otro confirmante cierre el trabajo ni muestra toda la identidad histórica.";"Admin / operador; demás roles con sesión administrativa";"usuarios; sesión administrativa; identidad PIN; permisos";El sistema pide confirmar identidad por PIN y registra identificador y nombre de quien confirma el trabajo. No confundir esta confirmación con una asignación individual de tareas.;E2E-18: El sistema pide confirmar identidad por PIN y registra identificador y nombre de quien confirma el trabajo. No confundir esta confirmación con una asignación individual de tareas.;Entorno de prueba aislado, usuarios ficticios por rol, datos preparados y servicio correspondiente. Resolver la brecha documentada antes de aceptar el resultado integral.
ACC-06;Media;Completar cobertura funcional;"Actualización diaria del tipo de cambio. Tarifas muestra TC y alerta por más de 24 h usando actualizadoEn general; no solicita TC al ingreso por cambio de fecha diaria.";"Admin / operador; demás roles con sesión administrativa";"usuarios; sesión administrativa; identidad PIN; permisos";"Se solicita el TC MXN por USD, permite capturarlo y confirmar la fecha de actualización; muestra TC en el panel.";"E2E-02: Se solicita el TC MXN por USD, permite capturarlo y confirmar la fecha de actualización; muestra TC en el panel.";Entorno de prueba aislado, usuarios ficticios por rol, datos preparados y servicio correspondiente. Resolver la brecha documentada antes de aceptar el resultado integral.
ACC-07;Media;Completar cobertura funcional;"Carga y reintento. Hay skeletons y errores en listados; la ficha del cliente no distingue error de ausencia y la recuperación no está conectada uniformemente en todos los módulos.";"Admin / operador; demás roles con sesión administrativa";"usuarios; sesión administrativa; identidad PIN; permisos";"Se distingue carga de datos, acceso y pantalla de reintento; no se presenta un conjunto vacío como si fuera información cargada correctamente.";"E2E-01: Se distingue carga de datos, acceso y pantalla de reintento; no se presenta un conjunto vacío como si fuera información cargada correctamente.";Entorno de prueba aislado, usuarios ficticios por rol, datos preparados y servicio correspondiente. Resolver la brecha documentada antes de aceptar el resultado integral.
ACC-08;Media;Obtener evidencia funcional;"Disponibilidad compartida de registros. Persistencia y suscripciones están representadas; las pruebas locales simulan dependencias. No se ejecutó guardar/reabrir ni propagación a otra sesión real.";"Admin / operador; demás roles con sesión administrativa";"usuarios; sesión administrativa; identidad PIN; permisos";"Los registros se guardan y se recuperan en una nueva carga; otra sesión recibe las actualizaciones de las entidades suscritas. La prueba de persistencia y de segunda sesión es obligatoria para aceptar la equivalencia.";"E2E-33: Los registros se guardan y se recuperan en una nueva carga; otra sesión recibe las actualizaciones de las entidades suscritas. La prueba de persistencia y de segunda sesión es obligatoria para aceptar la equivalencia.";Entorno de prueba aislado, usuarios ficticios por rol, datos preparados y servicio correspondiente.
DAS-01;Media;Completar cobertura funcional;"Resumen comercial mensual. Ventas ejecutivas basadas en CxC y pipeline, no en el mismo universo de aprobadas/manuales del mes; no existe marca de trabajo interno para excluirlo.";Admin / gerente / vendedor / contador según proyección;"pipeline; ordenes_produccion; cuentas_por_cobrar; gastos; consumos; sesiones";"Se muestran ventas del mes en MXN y pipeline activo; las órdenes internas se identifican por separado y no se tratan como ventas a clientes.";"E2E-32: Se muestran ventas del mes en MXN y pipeline activo; las órdenes internas se identifican por separado y no se tratan como ventas a clientes.";Entorno de prueba aislado, usuarios ficticios por rol, datos preparados y servicio correspondiente. Resolver la brecha documentada antes de aceptar el resultado integral.
DAS-02;Media;Completar cobertura funcional;"Gastos y margen global. Margen usa ingresos y costos atribuibles además de gastos; requiere reconciliar el universo y tratamiento mensual, sin confundirlo con margen global de la base.";Admin / gerente / vendedor / contador según proyección;"pipeline; ordenes_produccion; cuentas_por_cobrar; gastos; consumos; sesiones";"Se muestran gastos del mes y margen porcentual derivado de ventas y gastos; este indicador global no sustituye rentabilidad individual por orden.";"E2E-32: Se muestran gastos del mes y margen porcentual derivado de ventas y gastos; este indicador global no sustituye rentabilidad individual por orden.";"Entorno de prueba aislado, usuarios ficticios por rol, datos preparados y servicio correspondiente. Resolver D-11 para la variante indicada; no bloquea otras comprobaciones. Resolver la brecha documentada antes de aceptar el resultado integral."
