ID;Origen;Modulo_base;Capacidad_base;Fuente_base;Resultado_exigido;Actor_objetivo;Puntos_entrada_revisados;Operacion_disparador;Datos_relacionados;Regla_estado_y_resultado_objetivo;Evidencia_codigo;Evidencia_ejecutada_local;Evidencia_funcional_E2E;Clasificacion;Motivo;Siguiente_prueba_necesaria;Dependencia;Decisiones_relacionadas
ACC-01;B;Acceso y navegación;Acceso por identidad;"src/App.jsx:447-480;4533-4538";"Se identifica al usuario por nombre y rol; el administrador entra al panel administrativo y el operador a Producción. Conservar la función de identificación, sin trasladar valores de PIN del código antiguo.";"Admin / operador; demás roles con sesión administrativa";"/iniciar-sesion; /operador; menú y cierre";se introduce el PIN de un usuario registrado;"usuarios; sesión administrativa; identidad PIN; permisos";"Identificación administrativa por correo/contraseña y piso por PIN; equivalencia candidata. Falta login real de cada actor y verificar destino tras recarga.";"src/modulos/autenticacion/acciones/iniciar-sesion.ts:31; src/modulos/autenticacion/acciones/validar-pin.ts:35; src/app/(piso)/produccion-piso/page.tsx:13";"unitarias/autenticacion (5 casos aprobados); unitarias/sesion-operador (8 casos aprobados). Detalle en evidencias/casos-locales.csv. Solo evidencia parcial local, sin flujo persistido.";"No ejecutada en navegador/BD de prueba; persistencia y segunda sesión pendientes.";no verificable por datos/acceso/servicio;"Identificación administrativa por correo/contraseña y piso por PIN; equivalencia candidata. Falta login real de cada actor y verificar destino tras recarga.";"E2E-01: Se identifica al usuario por nombre y rol; el administrador entra al panel administrativo y el operador a Producción. Conservar la función de identificación, sin trasladar valores de PIN del código antiguo.";Entorno de prueba aislado, usuarios ficticios por rol, datos preparados y servicio correspondiente.;
ACC-02;B;Acceso y navegación;Captura y rechazo de PIN;"src/App.jsx:447-480;3160-3164";"La entrada puede corregirse; un PIN no reconocido no abre una sesión y permite reintentar. La interfaz declara PIN de 4 a 6 dígitos; validar ese rango en la versión objetivo.";"Admin / operador; demás roles con sesión administrativa";"/iniciar-sesion; /operador; menú y cierre";se usa el teclado numérico, borrar o un PIN no reconocido;"usuarios; sesión administrativa; identidad PIN; permisos";"Teclado y esquema de PIN disponibles; rechazo validado solo con dependencias simuladas, sin sesión de navegador ni servicio real.";"src/modulos/autenticacion/componentes/teclado-pin.tsx:21; src/modulos/autenticacion/acciones/validar-pin.ts:35";"unitarias/esquemas (9 casos aprobados); unitarias/limitar-intentos (4 casos aprobados). Detalle en evidencias/casos-locales.csv. Solo evidencia parcial local, sin flujo persistido.";"No ejecutada en navegador/BD de prueba; persistencia y segunda sesión pendientes.";no verificable por datos/acceso/servicio;"Teclado y esquema de PIN disponibles; rechazo validado solo con dependencias simuladas, sin sesión de navegador ni servicio real.";"E2E-01: La entrada puede corregirse; un PIN no reconocido no abre una sesión y permite reintentar. La interfaz declara PIN de 4 a 6 dígitos; validar ese rango en la versión objetivo.";Entorno de prueba aislado, usuarios ficticios por rol, datos preparados y servicio correspondiente.;
ACC-03;B;Acceso y navegación;Navegación administrativa;"src/App.jsx:4358;4582-4596";Puede abrir Dashboard, RFQ/Pipeline, Órdenes, CxC, Gastos/CxP, Clientes y Configuración, con indicador de vista activa.;"Admin / operador; demás roles con sesión administrativa";"/iniciar-sesion; /operador; menú y cierre";el administrador selecciona una opción del menú;"usuarios; sesión administrativa; identidad PIN; permisos";Menú conecta los módulos administrativos y marca ruta activa. Falta recorrer cada destino con una identidad de prueba.;"src/compartido/componentes/navegacion/modulos-navegacion.ts:16; src/compartido/componentes/navegacion/barra-lateral.tsx:25";Sin caso local específico ejecutado para este requisito.;"No ejecutada en navegador/BD de prueba; persistencia y segunda sesión pendientes.";no verificable por datos/acceso/servicio;Menú conecta los módulos administrativos y marca ruta activa. Falta recorrer cada destino con una identidad de prueba.;E2E-01: Puede abrir Dashboard, RFQ/Pipeline, Órdenes, CxC, Gastos/CxP, Clientes y Configuración, con indicador de vista activa.;Entorno de prueba aislado, usuarios ficticios por rol, datos preparados y servicio correspondiente.;
ACC-04;B;Acceso y navegación;Cambio de vista y cierre de sesión;"src/App.jsx:3750-3756;4533-4537;4584-4586";"Se conserva la identidad durante el cambio de vista; la vuelta administrativa corresponde al rol admin; cerrar sesión devuelve al acceso.";"Admin / operador; demás roles con sesión administrativa";"/iniciar-sesion; /operador; menú y cierre";el administrador abre Producción, regresa al panel o cierra sesión desde el panel;"usuarios; sesión administrativa; identidad PIN; permisos";"Chasis conserva navegación y existe acción de cierre; no se ha ejecutado cambio panel/piso/cierre y vuelta atrás con sesión real.";"src/compartido/componentes/navegacion/barra-lateral.tsx:25; src/modulos/autenticacion/acciones/cerrar-sesion.ts:28; src/app/(privado)/produccion/page.tsx:10; src/app/(piso)/produccion-piso/page.tsx:13";Sin caso local específico ejecutado para este requisito.;"No ejecutada en navegador/BD de prueba; persistencia y segunda sesión pendientes.";no verificable por datos/acceso/servicio;"Chasis conserva navegación y existe acción de cierre; no se ha ejecutado cambio panel/piso/cierre y vuelta atrás con sesión real.";"E2E-01: Se conserva la identidad durante el cambio de vista; la vuelta administrativa corresponde al rol admin; cerrar sesión devuelve al acceso.";Entorno de prueba aislado, usuarios ficticios por rol, datos preparados y servicio correspondiente.;
ACC-05;B;Acceso y navegación;Identidad en taller y confirmación de cierre;"src/App.jsx:3399-3419;3432-3440;4133-4155";El sistema pide confirmar identidad por PIN y registra identificador y nombre de quien confirma el trabajo. No confundir esta confirmación con una asignación individual de tareas.;"Admin / operador; demás roles con sesión administrativa";"/iniciar-sesion; /operador; menú y cierre";se guarda una sesión de trabajo;"usuarios; sesión administrativa; identidad PIN; permisos";"Cierre reconfirma PIN del mismo operador HMAC y audita ID; no equivale automáticamente a permitir que otro confirmante cierre el trabajo ni muestra toda la identidad histórica.";"src/modulos/produccion/acciones/cerrar-sesion-operador.ts:31; src/modulos/produccion/componentes/panel-operador-produccion.tsx:39; supabase/migrations/20260911000002_auditoria_ordenes_planeacion_produccion.sql:547";integracion/produccion-sesiones (6 casos aprobados). Detalle en evidencias/casos-locales.csv. Solo evidencia parcial local, sin flujo persistido.;"No ejecutada en navegador/BD de prueba; persistencia y segunda sesión pendientes.";cobertura parcial;"Cierre reconfirma PIN del mismo operador HMAC y audita ID; no equivale automáticamente a permitir que otro confirmante cierre el trabajo ni muestra toda la identidad histórica.";E2E-18: El sistema pide confirmar identidad por PIN y registra identificador y nombre de quien confirma el trabajo. No confundir esta confirmación con una asignación individual de tareas.;Entorno de prueba aislado, usuarios ficticios por rol, datos preparados y servicio correspondiente. Resolver la brecha documentada antes de aceptar el resultado integral.;
ACC-06;B;Acceso y navegación;Actualización diaria del tipo de cambio;"src/App.jsx:4405-4406;4543-4556";"Se solicita el TC MXN por USD, permite capturarlo y confirmar la fecha de actualización; muestra TC en el panel.";"Admin / operador; demás roles con sesión administrativa";"/iniciar-sesion; /operador; menú y cierre";el administrador entra con una fecha de TC distinta al día actual;"usuarios; sesión administrativa; identidad PIN; permisos";"Tarifas muestra TC y alerta por más de 24 h usando actualizadoEn general; no solicita TC al ingreso por cambio de fecha diaria.";"src/modulos/configuracion/componentes/pestana-tarifas.tsx:23; src/modulos/autenticacion/acciones/iniciar-sesion.ts:31";integracion/configuracion-acciones (5 casos aprobados). Detalle en evidencias/casos-locales.csv. Solo evidencia parcial local, sin flujo persistido.;"No ejecutada en navegador/BD de prueba; persistencia y segunda sesión pendientes.";cobertura parcial;"Tarifas muestra TC y alerta por más de 24 h usando actualizadoEn general; no solicita TC al ingreso por cambio de fecha diaria.";"E2E-02: Se solicita el TC MXN por USD, permite capturarlo y confirmar la fecha de actualización; muestra TC en el panel.";Entorno de prueba aislado, usuarios ficticios por rol, datos preparados y servicio correspondiente. Resolver la brecha documentada antes de aceptar el resultado integral.;
ACC-07;B;Acceso y navegación;Carga y reintento;"src/App.jsx:4408-4430;4516-4533";"Se distingue carga de datos, acceso y pantalla de reintento; no se presenta un conjunto vacío como si fuera información cargada correctamente.";"Admin / operador; demás roles con sesión administrativa";"/iniciar-sesion; /operador; menú y cierre";se abre la aplicación o no se logra cargar su información;"usuarios; sesión administrativa; identidad PIN; permisos";"Hay skeletons y errores en listados; la ficha del cliente no distingue error de ausencia y la recuperación no está conectada uniformemente en todos los módulos.";"src/modulos/clientes/componentes/tabla-clientes.tsx:34; src/modulos/clientes/componentes/ficha-cliente.tsx:112; src/modulos/dashboard/componentes/operacion-dashboard.tsx:17";unitarias/planeacion-componentes (3 casos aprobados). Detalle en evidencias/casos-locales.csv. Solo evidencia parcial local, sin flujo persistido.;"No ejecutada en navegador/BD de prueba; persistencia y segunda sesión pendientes.";cobertura parcial;"Hay skeletons y errores en listados; la ficha del cliente no distingue error de ausencia y la recuperación no está conectada uniformemente en todos los módulos.";"E2E-01: Se distingue carga de datos, acceso y pantalla de reintento; no se presenta un conjunto vacío como si fuera información cargada correctamente.";Entorno de prueba aislado, usuarios ficticios por rol, datos preparados y servicio correspondiente. Resolver la brecha documentada antes de aceptar el resultado integral.;
ACC-08;B;Acceso y navegación;Disponibilidad compartida de registros;src/App.jsx:4365-4514;"Los registros se guardan y se recuperan en una nueva carga; otra sesión recibe las actualizaciones de las entidades suscritas. La prueba de persistencia y de segunda sesión es obligatoria para aceptar la equivalencia.";"Admin / operador; demás roles con sesión administrativa";"/iniciar-sesion; /operador; menú y cierre";se crea o edita un cliente, RFQ, orden, AR, gasto o configuración;"usuarios; sesión administrativa; identidad PIN; permisos";"Persistencia y suscripciones están representadas; las pruebas locales simulan dependencias. No se ejecutó guardar/reabrir ni propagación a otra sesión real.";"src/modulos/produccion/servicios/tablero-produccion-servicio.ts:42; src/modulos/planeacion/componentes/operacion-planeacion.tsx:25; src/modulos/pipeline/acciones/crear-cotizacion.ts:18; src/modulos/clientes/acciones/crear-cliente.ts:20";unitarias/planeacion-realtime (2 casos aprobados). Detalle en evidencias/casos-locales.csv. Solo evidencia parcial local, sin flujo persistido.;"No ejecutada en navegador/BD de prueba; persistencia y segunda sesión pendientes.";no verificable por datos/acceso/servicio;"Persistencia y suscripciones están representadas; las pruebas locales simulan dependencias. No se ejecutó guardar/reabrir ni propagación a otra sesión real.";"E2E-33: Los registros se guardan y se recuperan en una nueva carga; otra sesión recibe las actualizaciones de las entidades suscritas. La prueba de persistencia y de segunda sesión es obligatoria para aceptar la equivalencia.";Entorno de prueba aislado, usuarios ficticios por rol, datos preparados y servicio correspondiente.;
DAS-01;B;Dashboard;Resumen comercial mensual;src/App.jsx:562-587;"Se muestran ventas del mes en MXN y pipeline activo; las órdenes internas se identifican por separado y no se tratan como ventas a clientes.";Admin / gerente / vendedor / contador según proyección;/dashboard y filtros de período;se consulta el dashboard con cotizaciones aprobadas y órdenes manuales comerciales;"pipeline; ordenes_produccion; cuentas_por_cobrar; gastos; consumos; sesiones";"Ventas ejecutivas basadas en CxC y pipeline, no en el mismo universo de aprobadas/manuales del mes; no existe marca de trabajo interno para excluirlo.";"supabase/migrations/20260910001120_fase_10_dashboard_base.sql:136; src/modulos/dashboard/servicios/dashboard-servicio.ts:159; src/modulos/dashboard/componentes/seccion-ventas-pipeline.tsx:14";integracion/dashboard-acciones (3 casos aprobados). Detalle en evidencias/casos-locales.csv. Solo evidencia parcial local, sin flujo persistido.;"No ejecutada en navegador/BD de prueba; persistencia y segunda sesión pendientes.";cobertura parcial;"Ventas ejecutivas basadas en CxC y pipeline, no en el mismo universo de aprobadas/manuales del mes; no existe marca de trabajo interno para excluirlo.";"E2E-32: Se muestran ventas del mes en MXN y pipeline activo; las órdenes internas se identifican por separado y no se tratan como ventas a clientes.";Entorno de prueba aislado, usuarios ficticios por rol, datos preparados y servicio correspondiente. Resolver la brecha documentada antes de aceptar el resultado integral.;
DAS-02;B;Dashboard;Gastos y margen global;"src/App.jsx:570-572;597";"Se muestran gastos del mes y margen porcentual derivado de ventas y gastos; este indicador global no sustituye rentabilidad individual por orden.";Admin / gerente / vendedor / contador según proyección;/dashboard y filtros de período;se consulta el resumen ejecutivo;"pipeline; ordenes_produccion; cuentas_por_cobrar; gastos; consumos; sesiones";"Margen usa ingresos y costos atribuibles además de gastos; requiere reconciliar el universo y tratamiento mensual, sin confundirlo con margen global de la base.";"supabase/migrations/20260910001120_fase_10_dashboard_base.sql:136; src/modulos/dashboard/componentes/seccion-financiera.tsx:8; src/modulos/gastos/servicios/rentabilidad-servicio.ts:12";unitarias/dashboard-mappers (3 casos aprobados). Detalle en evidencias/casos-locales.csv. Solo evidencia parcial local, sin flujo persistido.;"No ejecutada en navegador/BD de prueba; persistencia y segunda sesión pendientes.";cobertura parcial;"Margen usa ingresos y costos atribuibles además de gastos; requiere reconciliar el universo y tratamiento mensual, sin confundirlo con margen global de la base.";"E2E-32: Se muestran gastos del mes y margen porcentual derivado de ventas y gastos; este indicador global no sustituye rentabilidad individual por orden.";"Entorno de prueba aislado, usuarios ficticios por rol, datos preparados y servicio correspondiente. Resolver D-11 para la variante indicada; no bloquea otras comprobaciones. Resolver la brecha documentada antes de aceptar el resultado integral.";D-11
