"ID"	"Clase"	"Resultado_objetivo_y_motivo"	"Referencias"	"Pruebas_locales"	"Decision"
"OBS-01"	"P"	"Aging muestra tramos, pero no navega a documentos de 1–30 días conservando contexto. Tramo de antigüedad no se interpreta como mes calendario."	"ar_aging_ui,dashboard_finanzas,ar_tabla"	"unitarias/cobranza-aging"	""
"OBS-02"	"P"	"Prospecto usa empresa/contacto de texto libre y se promueve al ganar; falta buscar empresa existente, seleccionar contacto y alta contextual sin duplicar."	"prospecto,rfq_ganar,cliente_form"	"unitarias/pipeline-marcar-ganada-orden"	""
"OBS-03"	"P"	"Etapas prospecto/contactado y alertas disponibles; faltan próxima acción de llamada/seguimiento editable y su consulta como agenda."	"prospecto,rfq_etapa,tarjeta_rfq"	"unitarias/pipeline-alertas;unitarias/pipeline-transiciones"	""
"OBS-04"	"P"	"Tipos admiten líneas, pero formulario de cotización no tiene entrada desde oportunidad y carece de área/espesor/asignación y descripción general completa."	"rfq_form,pipeline,prospecto"	"unitarias/pipeline-totales"	""
"OBS-05"	"P"	"Programación por recurso/secuencia existe; no se distribuyen ni muestran automáticamente actividades por estación al crear el pedido, ni se ve enlace al detalle global desde cada cola."	"ganar_sql,plan_form,prd_tablero,prd_kanban"	""	"D-13"
"OBS-06"	"P"	"Acción adjuntar existe sin UI de Pipeline; piso no muestra planos múltiples/versiones y descarga contextual de OP."	"rfq_adjuntos,prd_panel,piso_panel"	""	"D-14"
"OBS-07"	"P"	"Existe formulario y almacenamiento de líneas; faltan acceso contextual desde oportunidad, calculadora técnica y vista de cotizaciones conectada."	"rfq_form,pipeline,tabla_rfq"	"unitarias/pipeline-totales"	"D-12"
"OBS-08"	"P"	"Planeación selecciona partida por etiqueta y recurso, pero tabla no muestra pedido/material/cantidad/proceso/avance/pendientes ni abre desglose completo."	"plan_form,plan_cal"	"unitarias/planeacion-componentes"	"D-15"
"OBS-09"	"P"	"Piso se limita a partidas asignadas y SQL revalida operador; una sola asignación por partida no expresa cada responsable por proceso ni se ve el reparto completo."	"piso_ruta,asignar_sql,prd_panel"	"integracion/ordenes-acciones"	"D-13"
"OBS-10"	"P"	"Acumulado por partida y entregas independientes existen; no hay avance por proceso previo a la última secuencia ni documento imprimible de entrega parcial. Caso 4+6 pendiente en BD de prueba."	"ultima_secuencia,prd_tablero,prd_entrega"	"unitarias/ordenes-avance;integracion/produccion-sesiones"	"D-05"
"OBS-11"	"N"	"Ficha cliente contiene placeholder de historial; notas de sesión no se agregan a una cadena navegable cliente→cotización→orden."	"cliente_ficha,prd_operar,prd_tablero"	""	"D-14"
"OBS-12"	"P"	"Consumo explícito descuenta existencias mediante acción propia; cierre de sesión no ajusta automáticamente consumo real restante ni registra material/merma al final."	"material_consumir,piso_panel,sesion_sql"	"unitarias/ordenes-calculos;unitarias/ordenes-servicio"	"D-10"
"OBS-13"	"P"	"Nota de entrega registra partidas y cantidades; falta conformidad imprimible/recuperable con descripción fiel al pedido y diferencia entregado/pendiente."	"prd_entrega,entrega_servicio,prd_operar"	"integracion/produccion-sesiones"	"D-05,D-14"
"OBS-14"	"P"	"Áreas configurables no incluyen jerarquía/procesos y no alimentan todas las listas objetivo. Registrar propuesta explícita de Metal mecánica/Fabricación digital/Acabados/Externo sin darla por aprobada."	"cfg_areas,plan_tipos,rfq_form"	"integracion/configuracion-acciones"	"D-13"
"OBS-15"	"P"	"Aprobar oportunidad genera OP, pero /ordenes mantiene alta manual ordinaria y no existe marca TI sin venta. La excepción histórica queda pendiente y separada."	"ganar_sql,orden_ruta,orden_form"	"unitarias/pipeline-marcar-ganada-orden"	"D-01"
"OBS-16"	"P"	"Transiciones con cancelación motivada y condición de completar existen; Programada sin agenda y pausa de OP versus sesión requieren consistencia de filtros/efectos entre entradas."	"orden_tabla,orden_sql,sesion_sql,prd_tablero"	"unitarias/ordenes-transiciones;integracion/ordenes-acciones"	"D-03,D-06"
"OBS-17"	"P"	"Comentarios por entidad funcionan como contratos/acciones simuladas; Pipeline usa entidad cotizacion y Órdenes usa orden. Producción no monta hilo de orden ni existe acceso transversal al mismo comentario."	"comentarios,tarjeta_rfq,orden_tabla,prd_operar"	"integracion/comentarios-acciones"	"D-14"
"OBS-18"	"P"	"Formulario usa etiquetas de partida y recurso sin exigir UUID; falta resumen comprensible del pedido/resultado y acceso contextual en calendario. Se propone explicarlo, no eliminar capacidad."	"plan_form,plan_cal"	"unitarias/planeacion-componentes"	"D-15"
"OBS-19"	"P"	"SQL bloquea sobrecarga por recurso/fecha/turno; falta horario específico por operador, comprobación conjunta y propuesta automática de siguiente día hábil con hueco."	"programar_sql,reprogramar_sql,plan_form,plan_cal"	"unitarias/planeacion-capacidad;unitarias/planeacion-acciones"	"D-02"
"OBS-20"	"P"	"Fin de sesión y entrega son hechos separados, pero falta filtro de área visible en Producción y conformidad descargable; actividad multicentro necesita pruebas por cada proceso."	"prd_kanban,ultima_secuencia,prd_entrega"	"integracion/produccion-sesiones"	"D-05,D-13"
"OBS-21"	"P"	"Entregada se deriva conservando notas, pero el Kanban incluye columna Entregada y no se encontró archivo automático ni historial navegable completo."	"prd_kanban,prd_tablero,cliente_ficha"	"unitarias/produccion-tablero"	"D-06"
